Product Image,Product Name,Product Price,Product Description,Brand URL,Brand,Product Specifications,Product URL
Default,Mahindra Utility Hose - BottomBy VIR.,Rs.272.00,Mahindra Utility Hose - BottomBy VIR. Pictures Are Generic. Actual product may vary from the image shown.,https://spareshub.com/car-brands/mahindra.html,mahindra,"{'SKU': 'S5423', 'Pieces in Product': '-', 'Color': '-', 'OEM Part Number': '-', 'Model Version': 'N/A', 'Location': '-', 'Design': '-', 'Material': '-', 'Model Series': '-', 'Dimensions': '-', 'Note': '-', 'Part Category': 'Body Parts', 'Part Number': '61 56 5665', 'Part Diagram': '-', 'Part Brand': 'VIR', 'Vehicle Brand': 'Mahindra', ""decorateTable('product-attribute-specs-table')"": 'Description', 'Details': 'Mahindra Utility Hose - BottomBy VIR. Pictures Are Generic. Actual product may vary from the image shown.'}",https://spareshub.com/car-brands/mahindra/mahindra-utility-hose-bottomby-vir.html
Default,Mahindra Jeep Weatherstrip Rear Door (Bolero) (Left Hand/Right Hand Same) By Mahindra Genuine. 67741,"Regular Price:

Rs.499.00 


Special Price

Rs.424.00",Mahindra Jeep Weatherstrip Rear Door (Bolero) (Left Hand/Right Hand Same) By Mahindra Genuine. Pictures Are Generic. Actual product may vary from the image shown. 67741,https://spareshub.com/car-brands/mahindra.html,mahindra,"{'SKU': 'MAH0538', 'Pieces in Product': '-', 'Color': '-', 'OEM Part Number': '-', 'Model Version': 'N/A', 'Location': '-', 'Design': '-', 'Material': '-', 'Model Series': '-', 'Dimensions': '-', 'Note': '-', 'Part Category': 'All', 'Part Number': '0067741', 'Part Diagram': '-', 'Part Brand': 'Mahindra Genuine Parts', 'Vehicle Brand': 'Mahindra', ""decorateTable('product-attribute-specs-table')"": 'Description', 'Details': 'Mahindra Jeep Weatherstrip Rear Door (Bolero) (Left Hand/Right Hand Same) By Mahindra Genuine. Pictures Are Generic. Actual product may vary from the image shown. 67741'}",https://spareshub.com/car-brands/mahindra/mahindra-jeep-weatherstrip-rear-door-bolero-left-hand-right-hand-same-by-mahindra-genuine.html
Default,Mahindra Jeep Fuel Line Tank To Filter By Mahindra Genuine. 1001CAA14401N,"Regular Price:

Rs.858.00 


Special Price

Rs.729.00",Mahindra Jeep Fuel Line Tank To Filter By Mahindra Genuine. Pictures Are Generic. Actual product may vary from the image shown. 1001CAA14401N,https://spareshub.com/car-brands/mahindra.html,mahindra,"{'SKU': 'MAH2062', 'Pieces in Product': '-', 'Color': '-', 'OEM Part Number': '-', 'Model Version': 'N/A', 'Location': '-', 'Design': '-', 'Material': '-', 'Model Series': '-', 'Dimensions': '-', 'Note': '-', 'Part Category': 'All', 'Part Number': '1001CAA14401N', 'Part Diagram': '-', 'Part Brand': 'Mahindra Genuine Parts', 'Vehicle Brand': 'Mahindra', ""decorateTable('product-attribute-specs-table')"": 'Description', 'Details': 'Mahindra Jeep Fuel Line Tank To Filter By Mahindra Genuine. Pictures Are Generic. Actual product may vary from the image shown. 1001CAA14401N'}",https://spareshub.com/car-brands/mahindra/mahindra-jeep-fuel-line-tank-to-filter-by-mahindra-genuine-53592.html
Default,"Rod-Conn, Fr Axle Anti Roll Bar Verito And Logan",Rs.753.00,"Rod-Conn, Fr Axle Anti Roll Bar Bolero Pick Tc - Mahindra Genuine Part. Pictures are Generic.",https://spareshub.com/car-brands/mahindra.html,mahindra,"{'SKU': 'D102730', 'Pieces in Product': 'N/A', 'Color': '-', 'OEM Part Number': 'N/A', 'Model Version': '-', 'Location': '-', 'Design': '-', 'Material': '-', 'Model Series': '-', 'Dimensions': '-', 'Note': '-', 'Part Category': 'Unassigned', 'Part Number': '8200317650', 'Part Diagram': '-', 'Part Brand': 'Mahindra Genuine Parts', 'Vehicle Brand': 'Mahindra', ""decorateTable('product-attribute-specs-table')"": 'Description', 'Details': 'Rod-Conn, Fr Axle Anti Roll Bar Bolero Pick Tc - Mahindra Genuine Part. Pictures are Generic.'}",https://spareshub.com/car-brands/mahindra/rod-conn-fr-axle-anti-roll-bar-verito-and-logan.html
Default,Mahindra & Mahindra Clutch Cable - Aramada Big By Remsons,Rs.680.00,Tata Superace Clutch Cable - Old By Remsons . Pictures Are Generic. Actual product may vary from the image shown.,https://spareshub.com/car-brands/mahindra.html,mahindra,"{'SKU': 'S8725', 'Pieces in Product': '-', 'Color': '-', 'OEM Part Number': '-', 'Model Version': 'N/A', 'Location': '-', 'Design': '-', 'Material': '-', 'Model Series': '-', 'Dimensions': '-', 'Note': '-', 'Part Category': 'Clutch System', 'Part Number': 'PMM04CC', 'Part Diagram': '-', 'Part Brand': 'Remson', 'Vehicle Brand': 'Mahindra', ""decorateTable('product-attribute-specs-table')"": 'Description', 'Details': 'Tata Superace Clutch Cable - Old By Remsons . Pictures Are Generic. Actual product may vary from the image shown.'}",https://spareshub.com/car-brands/mahindra/mahindra-mahindra-clutch-cable-aramada-big-by-remsons.html
Default,Mahindra Scorpio Front Bumper Assembly (With End Cap And Reinf)Ref By Mahindra Genuine. 0119AAG01181N,"Regular Price:

Rs.12,100.00 


Special Price

Rs.10,687.00",Mahindra Scorpio Front Bumper Assembly (With End Cap And Reinf)Ref By Mahindra Genuine. Pictures Are Generic. Actual product may vary from the image shown. 0119AAG01181N,https://spareshub.com/car-brands/mahindra.html,mahindra,"{'SKU': 'MAH3052', 'Pieces in Product': '-', 'Color': '-', 'OEM Part Number': '-', 'Model Version': 'N/A', 'Location': '-', 'Design': '-', 'Material': '-', 'Model Series': '-', 'Dimensions': '-', 'Note': '-', 'Part Category': 'All', 'Part Number': '0119AAG01181N', 'Part Diagram': '-', 'Part Brand': 'Mahindra Genuine Parts', 'Vehicle Brand': 'Mahindra', ""decorateTable('product-attribute-specs-table')"": 'Description', 'Details': 'Mahindra Scorpio Front Bumper Assembly (With End Cap And Reinf)Ref By Mahindra Genuine. Pictures Are Generic. Actual product may vary from the image shown. 0119AAG01181N'}",https://spareshub.com/car-brands/mahindra/mahindra-scorpio-front-bumper-assembly-with-end-cap-and-reinf-ref-by-mahindra-genuine.html
Default,Mahindra Jeep Rear Cable Left Hand By Mahindra Genuine. 0605BAB01551N,"Regular Price:

Rs.461.00 


Special Price

Rs.407.00",Mahindra Jeep Rear Cable Left Hand By Mahindra Genuine. Pictures Are Generic. Actual product may vary from the image shown. 0605BAB01551N,https://spareshub.com/car-brands/mahindra.html,mahindra,"{'SKU': 'MAH1759', 'Pieces in Product': '-', 'Color': '-', 'OEM Part Number': '-', 'Model Version': 'N/A', 'Location': '-', 'Design': '-', 'Material': '-', 'Model Series': '-', 'Dimensions': '-', 'Note': '-', 'Part Category': 'All', 'Part Number': '0605BAB01551N', 'Part Diagram': '-', 'Part Brand': 'Mahindra Genuine Parts', 'Vehicle Brand': 'Mahindra', ""decorateTable('product-attribute-specs-table')"": 'Description', 'Details': 'Mahindra Jeep Rear Cable Left Hand By Mahindra Genuine. Pictures Are Generic. Actual product may vary from the image shown. 0605BAB01551N'}",https://spareshub.com/car-brands/mahindra/mahindra-jeep-rear-cable-left-hand-by-mahindra-genuine-53289.html
https://spareshub.com/media/catalog/product/cache/1/image/650x/040ec09b1e35df139433887a97daa66f/o/i/oilfilter5_21.jpg,"Oil Filter for Bolero, Armada, Xylo",Rs.199.00,"Mahle Oil Filter for Bolero, Armada, Xylo. Pictures are generic.",https://spareshub.com/car-brands/mahindra.html,mahindra,"{'SKU': 'A101732', 'Pieces in Product': '-', 'Color': '-', 'OEM Part Number': '-', 'Model Version': '-', 'Location': '-', 'Design': '-', 'Material': '-', 'Model Series': '-', 'Dimensions': '-', 'Note': '-', 'Part Category': 'Filters', 'Part Number': 'KFO0349008', 'Part Diagram': '-', 'Part Brand': 'Mahle', 'Vehicle Brand': 'Mahindra', ""decorateTable('product-attribute-specs-table')"": 'Description', 'Details': 'Mahle Oil Filter for Bolero, Armada, Xylo. Pictures are generic.'}",https://spareshub.com/car-brands/mahindra/oil-filter-for-bolero-armada-xylo.html
Default,Mahindra Jeep Radiator Top Foam Seal By Mahindra Genuine. 0304FC0260N,"Regular Price:

Rs.17.00 


Special Price

Rs.15.00",Mahindra Jeep Radiator Top Foam Seal By Mahindra Genuine. Pictures Are Generic. Actual product may vary from the image shown. 0304FC0260N,https://spareshub.com/car-brands/mahindra.html,mahindra,"{'SKU': 'MAH1322', 'Pieces in Product': '-', 'Color': '-', 'OEM Part Number': '-', 'Model Version': 'N/A', 'Location': '-', 'Design': '-', 'Material': '-', 'Model Series': '-', 'Dimensions': '-', 'Note': '-', 'Part Category': 'All', 'Part Number': '0304FC0260N', 'Part Diagram': '-', 'Part Brand': 'Mahindra Genuine Parts', 'Vehicle Brand': 'Mahindra', ""decorateTable('product-attribute-specs-table')"": 'Description', 'Details': 'Mahindra Jeep Radiator Top Foam Seal By Mahindra Genuine. Pictures Are Generic. Actual product may vary from the image shown. 0304FC0260N'}",https://spareshub.com/car-brands/mahindra/mahindra-jeep-radiator-top-foam-seal-by-mahindra-genuine.html
Default,Mahindra Jeep Spring Wheel Cylinder(Bolero 2Wd/Mditc) By Mahindra Genuine. 0602BA3241N,"Regular Price:

Rs.62.00 


Special Price

Rs.53.00",Mahindra Jeep Spring Wheel Cylinder(Bolero 2Wd/Mditc) By Mahindra Genuine. Pictures Are Generic. Actual product may vary from the image shown. 0602BA3241N,https://spareshub.com/car-brands/mahindra.html,mahindra,"{'SKU': 'MAH1712', 'Pieces in Product': '-', 'Color': '-', 'OEM Part Number': '-', 'Model Version': 'N/A', 'Location': '-', 'Design': '-', 'Material': '-', 'Model Series': '-', 'Dimensions': '-', 'Note': '-', 'Part Category': 'All', 'Part Number': '0602BA3241N', 'Part Diagram': '-', 'Part Brand': 'Mahindra Genuine Parts', 'Vehicle Brand': 'Mahindra', ""decorateTable('product-attribute-specs-table')"": 'Description', 'Details': 'Mahindra Jeep Spring Wheel Cylinder(Bolero 2Wd/Mditc) By Mahindra Genuine. Pictures Are Generic. Actual product may vary from the image shown. 0602BA3241N'}",https://spareshub.com/car-brands/mahindra/mahindra-jeep-spring-wheel-cylinder-bolero-2wd-mditc-by-mahindra-genuine.html
